# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   85       2.979866816184e-10       7.219368896650e-14      -1.787247124901e-12       3.077032256270e-16       1.638198356837e-11       2.154833647201e-12      -1.112226525971e-14 
   86       3.016247776600e-10       7.422618741491e-14      -1.865809745434e-12       3.150296303112e-16       1.590672645337e-11       2.102672438875e-12      -1.112881728898e-14 
   87       3.052940388392e-10       7.626372257345e-14      -1.945272795383e-12       3.224443458308e-16       1.544954833387e-11       2.052319467535e-12      -1.108800923750e-14 
   88       3.089947304671e-10       7.830503906205e-14      -2.025608596652e-12       3.299473914058e-16       1.500998465072e-11       2.003735011885e-12      -1.100292838617e-14 
   89       3.127268869424e-10       8.034888524246e-14      -2.106790343558e-12       3.375387811994e-16       1.458733918059e-11       1.956855011222e-12      -1.087714248126e-14 
   90       3.164903005737e-10       8.239401465481e-14      -2.188792183984e-12       3.452185241709e-16       1.418067516729e-11       1.911590117446e-12      -1.071471492723e-14 
   91       3.202845104035e-10       8.443918745426e-14      -2.271589300538e-12       3.529866239289e-16       1.378880645314e-11       1.867824747070e-12      -1.052021997964e-14 
   92       3.241087910302e-10       8.648317184759e-14      -2.355157991707e-12       3.608430785845e-16       1.341028861030e-11       1.825416133222e-12      -1.029875793798e-14 
   93       3.279624100448e-10       8.852463558345e-14      -2.439467676652e-12       3.687879977154e-16       1.304376167256e-11       1.784230170770e-12      -1.005548227510e-14 
   94       3.318454689033e-10       9.056179863449e-14      -2.524455357801e-12       3.768219736997e-16       1.268905655853e-11       1.744257177651e-12      -9.794066671649e-15 
   95       3.357581684448e-10       9.259273069168e-14      -2.610047449608e-12       3.849457662191e-16       1.234623943159e-11       1.705511872322e-12      -9.518034440787e-15 
   96       3.397005441580e-10       9.461545638462e-14      -2.696167483374e-12       3.931601915655e-16       1.201527093847e-11       1.667997694956e-12      -9.231234427975e-15 
   97       3.436724586914e-10       9.662795520892e-14      -2.782736077552e-12       4.014661241014e-16       1.169600216697e-11       1.631706364505e-12      -8.937849504285e-15 
   98       3.476735943636e-10       9.862816145361e-14      -2.869670908027e-12       4.098644977210e-16       1.138817060362e-11       1.596617435759e-12      -8.642405059699e-15 
   99       3.517034456734e-10       1.006139641285e-13      -2.956886678420e-12       4.183563073108e-16       1.109139609143e-11       1.562697856408e-12      -8.349777496416e-15 
  100       3.557613118107e-10       1.025832068916e-13      -3.044295090377e-12       4.269426102101e-16       1.080517678759e-11       1.529901524103e-12      -8.065202722148e-15 
  101       3.598462891659e-10       1.045336879764e-13      -3.131804813859e-12       4.356245276721e-16       1.052888512116e-11       1.498168843515e-12      -7.794284643432e-15 
  102       3.639572638408e-10       1.064631601194e-13      -3.219321457442e-12       4.444032463245e-16       1.026176375080e-11       1.467426283401e-12      -7.543003658926e-15 
  103       3.680929041588e-10       1.083693304876e-13      -3.306747538606e-12       4.532800196299e-16       1.000292152247e-11       1.437585933659e-12      -7.317725152717e-15 
  104       3.722519447586e-10       1.102499692265e-13      -3.393988974776e-12       4.622560377501e-16       9.751535495819e-12       1.408565522202e-12      -7.123732616324e-15 
  105       3.764340987142e-10       1.121032519620e-13      -3.480975619054e-12       4.713320139692e-16       9.507496810902e-12       1.380352499121e-12      -6.960583047905e-15 
  106       3.806392552398e-10       1.139274636456e-13      -3.567643456095e-12       4.805085448654e-16       9.270844938822e-12       1.352947823888e-12      -6.826137048319e-15 
  107       3.848671948754e-10       1.157208951729e-13      -3.653928370530e-12       4.897862369331e-16       9.041567647729e-12       1.326346063125e-12      -6.717970538445e-15 
  108       3.891175852006e-10       1.174818445039e-13      -3.739766188911e-12       4.991657065977e-16       8.819599225025e-12       1.300535172486e-12      -6.633367039611e-15 
  109       3.933899765499e-10       1.192086177847e-13      -3.825092721664e-12       5.086475802306e-16       8.604818699557e-12       1.275496278560e-12      -6.569309954034e-15 
  110       3.976837977266e-10       1.208995304681e-13      -3.909843805038e-12       5.182324941630e-16       8.397048063820e-12       1.251203460760e-12      -6.522474845243e-15 
  111       4.019983517176e-10       1.225529084349e-13      -3.993955343053e-12       5.279210947011e-16       8.196050496157e-12       1.227623533219e-12      -6.489221718518e-15 
  112       4.063328114078e-10       1.241670891147e-13      -4.077363349453e-12       5.377140381407e-16       8.001528582954e-12       1.204715826684e-12      -6.465587301314e-15 
  113       4.106862152945e-10       1.257404226070e-13      -4.160003989653e-12       5.476119907815e-16       7.813122540845e-12       1.182431970411e-12      -6.447277323702e-15 
  114       4.150574632022e-10       1.272712728024e-13      -4.241813622691e-12       5.576156289419e-16       7.630408438908e-12       1.160715674055e-12      -6.429658798792e-15 
  115       4.194453119968e-10       1.287580185034e-13      -4.322728843176e-12       5.677256389735e-16       7.452896420862e-12       1.139502509569e-12      -6.407752303171e-15 
  116       4.238485457009e-10       1.301990825735e-13      -4.402684974754e-12       5.779427184079e-16       7.280138107734e-12       1.118734671821e-12      -6.377248994399e-15 
  117       4.282665184674e-10       1.315930210087e-13      -4.481611253020e-12       5.882675795222e-16       7.112067420809e-12       1.098407762697e-12      -6.337718445682e-15 
  118       4.326986698808e-10       1.329384468509e-13      -4.559435132988e-12       5.987009462368e-16       6.948698050761e-12       1.078529311970e-12      -6.289778142640e-15 
  119       4.371443537500e-10       1.342340044830e-13      -4.636083813120e-12       6.092435530457e-16       6.790017181308e-12       1.059104222792e-12      -6.234104969854e-15 
  120       4.416028353645e-10       1.354783709974e-13      -4.711484263591e-12       6.198961450419e-16       6.635984676756e-12       1.040134686025e-12      -6.171436551755e-15 
  121       4.460732887509e-10       1.366702575652e-13      -4.785563254543e-12       6.306594779415e-16       6.486532269547e-12       1.021620094572e-12      -6.102572593505e-15 
  122       4.505547939297e-10       1.378084108048e-13      -4.858247384346e-12       6.415343181086e-16       6.341562747795e-12       1.003556957713e-12      -6.028376221881e-15 
  123       4.550463341714e-10       1.388916141508e-13      -4.929463107853e-12       6.525214425798e-16       6.200949142840e-12       9.859388154314e-13      -5.949775326157e-15 
  124       4.595467932533e-10       1.399186892230e-13      -4.999136764662e-12       6.636216390889e-16       6.064533916782e-12       9.687561527512e-13      -5.867763898989e-15 
  125       4.640549527159e-10       1.408884971950e-13      -5.067194607375e-12       6.748357060912e-16       5.932128150031e-12       9.519963140651e-13      -5.783403377298e-15 
  126       4.685694891193e-10       1.417999401631e-13      -5.133562829852e-12       6.861644527887e-16       5.803510728848e-12       9.356434174680e-13      -5.697823983150e-15 
  127       4.730889712998e-10       1.426519625153e-13      -5.198167595476e-12       6.976086991542e-16       5.678427532891e-12       9.196782690890e-13      -5.612226064644e-15 
  128       4.776118576265e-10       1.434435523000e-13      -5.260935065406e-12       7.091692759561e-16       5.556590622758e-12       9.040782774230e-13      -5.527881436795e-15 
  129       4.821366591753e-10       1.441737872551e-13      -5.321792785097e-12       7.208470394708e-16       5.437740128826e-12       8.888226828080e-13      -5.445888226311e-15 
  130       4.866624553186e-10       1.448419756972e-13      -5.380673955806e-12       7.326429173924e-16       5.321839319603e-12       8.739090764358e-13      -5.366402151020e-15 
  131       4.911884297749e-10       1.454475337470e-13      -5.437513687258e-12       7.445578680292e-16       5.208899496855e-12       8.593385400375e-13      -5.289323052296e-15 
  132       4.957137082207e-10       1.459899437261e-13      -5.492247718999e-12       7.565928661959e-16       5.098918852313e-12       8.451104460133e-13      -5.214533413112e-15 
  133       5.002373567337e-10       1.464687558455e-13      -5.544812458368e-12       7.687489033434e-16       4.991882103888e-12       8.312224097968e-13      -5.141897935082e-15 
  134       5.047583802372e-10       1.468835898940e-13      -5.595145018479e-12       7.810269876884e-16       4.887760131874e-12       8.176702422210e-13      -5.071263115516e-15 
  135       5.092757209429e-10       1.472341369269e-13      -5.643183256198e-12       7.934281443431e-16       4.786509615169e-12       8.044479018827e-13      -5.002456824460e-15 
  136       5.137882567957e-10       1.475201609537e-13      -5.688865810119e-12       8.059534154451e-16       4.688072667480e-12       7.915474475083e-13      -4.935287881747e-15 
  137       5.182947999167e-10       1.477415006274e-13      -5.732132138544e-12       8.186038602868e-16       4.592376473535e-12       7.789589903184e-13      -4.869545634041e-15 
  138       5.227940950471e-10       1.478980709322e-13      -5.772922557461e-12       8.313805554456e-16       4.499332925300e-12       7.666706463935e-13      -4.804999531889e-15 
  139       5.272848179923e-10       1.479898648723e-13      -5.811178278518e-12       8.442845949129e-16       4.408838258182e-12       7.546684890390e-13      -4.741398706763e-15 
  140       5.317655740651e-10       1.480169551602e-13      -5.846841447005e-12       8.573170902247e-16       4.320772687247e-12       7.429365011501e-13      -4.678471548110e-15 
  141       5.362348965300e-10       1.479794959052e-13      -5.879855179830e-12       8.704791705905e-16       4.235000043428e-12       7.314565275775e-13      -4.615925280398e-15 
  142       5.406912450465e-10       1.478777243016e-13      -5.910163603497e-12       8.837719830234e-16       4.151367409739e-12       7.202082274919e-13      -4.553445540166e-15 
  143       5.451330041130e-10       1.477119623174e-13      -5.937711892082e-12       8.971966924700e-16       4.069704757485e-12       7.091690267498e-13      -4.490695953066e-15 
